"Date","Price","Open","High","Low","Vol.","Change %"
"27 Aug 2022","0.9985","0.9988","0.9991","0.9977","27.95K","-0.03%"
"26 Aug 2022","0.9988","0.9986","0.9993","0.9980","25.18K","0.02%"
"25 Aug 2022","0.9986","0.9984","0.9995","0.9974","53.42K","0.02%"
"24 Aug 2022","0.9984","0.9991","0.9999","0.9980","26.34K","-0.07%"
"23 Aug 2022","0.9991","0.9983","0.9999","0.9980","20.95K","0.08%"
"22 Aug 2022","0.9983","0.9985","0.9999","0.9980","19.47K","-0.02%"
"21 Aug 2022","0.9985","0.9986","0.9999","0.9980","18.94K","-0.01%"
"20 Aug 2022","0.9986","0.9989","0.9999","0.9983","48.02K","-0.03%"
"19 Aug 2022","0.9989","0.9989","1.0010","0.9982","32.28K","0.02%"
"18 Aug 2022","0.9987","0.9987","0.9997","0.9984","19.55K","0.00%"
"17 Aug 2022","0.9987","1.0000","1.0001","0.9983","16.47K","-0.13%"
"16 Aug 2022","1.0000","0.9981","1.0015","0.9980","29.07K","0.19%"
"15 Aug 2022","0.9981","0.9984","0.9999","0.9974","42.76K","-0.03%"
"14 Aug 2022","0.9984","0.9987","0.9989","0.9974","31.28K","-0.04%"
"13 Aug 2022","0.9988","0.9981","0.9989","0.9974","46.06K","0.07%"
"12 Aug 2022","0.9981","0.9988","0.9996","0.9975","69.24K","-0.07%"
"11 Aug 2022","0.9988","0.9987","1.0015","0.9975","52.96K","0.02%"
"10 Aug 2022","0.9986","1.0002","1.0007","0.9975","66.23K","-0.15%"
"09 Aug 2022","1.0001","0.9991","1.0015","0.9989","57.96K","0.10%"
"08 Aug 2022","0.9991","0.9983","0.9992","0.9975","71.47K","0.08%"
"07 Aug 2022","0.9983","0.9987","0.9992","0.9978","25.63K","-0.04%"
"06 Aug 2022","0.9987","0.9993","0.9998","0.9978","67.07K","-0.06%"
"05 Aug 2022","0.9993","1.0001","1.0013","0.9975","43.26K","-0.08%"
"04 Aug 2022","1.0001","0.9984","1.0009","0.9950","160.26K","0.17%"
"03 Aug 2022","0.9984","0.9992","0.9995","0.9975","22.03K","-0.08%"
"02 Aug 2022","0.9992","0.9995","1.0015","0.9990","25.06K","-0.03%"
"01 Aug 2022","0.9995","0.9997","1.0015","0.9977","135.35K","-0.02%"
"31 July 2022","0.9997","0.9999","0.9999","0.9980","17.36K","-0.02%"
"30 July 2022","0.9999","0.9989","0.9999","0.9978","19.43K","0.10%"
"29 July 2022","0.9989","0.9988","0.9999","0.9974","211.71K","0.01%"
"28 July 2022","0.9988","0.9992","0.9999","0.9981","20.40K","-0.04%"
"27 July 2022","0.9992","0.9994","0.9997","0.9990","23.07K","-0.02%"
"26 July 2022","0.9994","0.9987","1.0010","0.9977","64.22K","0.07%"
"25 July 2022","0.9987","0.9995","1.0004","0.9969","72.51K","-0.08%"
"24 July 2022","0.9995","0.9993","1.0002","0.9980","11.00K","0.02%"
"23 July 2022","0.9993","0.9991","1.0002","0.9980","19.58K","0.02%"
"22 July 2022","0.9991","0.9988","1.0003","0.9980","21.33K","0.03%"
"21 July 2022","0.9988","0.9998","1.0000","0.9974","47.08K","-0.10%"
"20 July 2022","0.9998","0.9989","1.0003","0.9983","32.11K","0.09%"
"19 July 2022","0.9989","1.0000","1.0009","0.9983","40.28K","-0.11%"
"18 July 2022","1.0000","0.9996","1.0009","0.9990","40.10K","0.04%"
"17 July 2022","0.9996","0.9998","1.0006","0.9986","23.29K","-0.02%"
"16 July 2022","0.9998","0.9997","1.0000","0.9990","23.19K","0.01%"
"15 July 2022","0.9997","1.0004","1.0009","0.9994","30.80K","-0.07%"
"14 July 2022","1.0004","1.0006","1.0010","0.9998","68.16K","-0.02%"
"13 July 2022","1.0006","1.0002","1.0022","0.9993","76.10K","0.04%"
"12 July 2022","1.0002","1.0019","1.0021","0.9996","47.67K","-0.17%"
"11 July 2022","1.0019","1.0003","1.0021","0.9999","22.77K","0.16%"
"10 July 2022","1.0003","1.0001","1.0007","0.9997","10.36K","0.02%"
"09 July 2022","1.0001","1.0000","1.0007","0.9997","30.85K","0.01%"
"08 July 2022","1.0000","1.0000","1.0010","0.9991","53.87K","0.00%"
"07 July 2022","1.0000","1.0002","1.0010","1.0000","43.41K","-0.02%"
"06 July 2022","1.0002","1.0001","1.0029","1.0001","81.74K","0.01%"
"05 July 2022","1.0001","1.0004","1.0034","1.0000","73.26K","-0.03%"
"04 July 2022","1.0004","1.0001","1.0009","0.9993","57.06K","0.03%"
"03 July 2022","1.0001","1.0002","1.0010","0.9993","63.03K","-0.01%"
"02 July 2022","1.0002","1.0000","1.0012","0.9995","26.77K","0.02%"
"01 July 2022","1.0000","1.0022","1.0042","0.9986","181.80K","-0.22%"
"30 June 2022","1.0022","1.0019","1.0027","1.0014","87.50K","0.03%"
"29 June 2022","1.0019","1.0016","1.0043","1.0014","74.70K","0.03%"
"28 June 2022","1.0016","1.0006","1.0018","0.9994","34.44K","0.10%"
"27 June 2022","1.0006","0.9998","1.0035","0.9990","79.45K","0.08%"
"26 June 2022","0.9998","0.9998","1.0016","0.9998","25.61K","0.00%"
"25 June 2022","0.9998","1.0001","1.0010","0.9992","26.29K","-0.03%"
